date,region,river,basin,elevation,temperature,precipitation,snowmelt,river_level,flood_threshold,flood_status,soil_moisture,upstream_dam_level
2018-01-01,Bishkek_City,Ala-Archa,Chu,800,-6.2,0.0,0.0,0.93,2.5,0,48.0,
2018-01-01,Tokmok_Area,Chu,Chu,820,-9.1,0.0,0.0,0.93,2.8,0,46.0,
2018-01-01,Kemin_District,Chon-Kemin,Chu,1300,-4.5,0.0,0.0,0.93,1.8,0,44.0,
2018-01-01,Sokuluk_Valley,Sokuluk,Chu,1100,-8.6,0.0,0.0,0.93,1.7,0,42.0,
2018-01-01,Karakol_City,Karakol,Issyk-Kul,1750,-16.7,0.0,0.0,0.63,1.9,0,40.0,
2018-01-01,Balykchy_Town,Chu,Issyk-Kul,1600,-14.5,0.0,0.0,0.63,2.0,0,38.0,
2018-01-01,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-13.4,0.0,0.0,0.63,1.6,0,36.0,
2018-01-01,Toktogul_Dam,Naryn,Naryn,870,-6.4,0.0,0.0,0.81,4.5,0,34.0,
2018-01-01,Naryn_City,Naryn,Naryn,2050,-9.0,0.0,0.0,0.81,3.2,0,32.0,18.000000000000004
2018-01-01,Kazarman_Area,Naryn,Naryn,1300,-11.1,0.0,0.0,0.81,2.8,0,30.0,18.000000000000004
2018-01-01,Talas_City,Talas,Talas,1280,-9.1,0.0,0.0,0.76,2.3,0,28.0,20.0
2018-01-01,Kirov_Dam,Talas,Talas,1090,-8.4,0.0,0.0,0.76,3.8,0,26.0,
2018-01-01,Osh_City,Ak-Buura,Ferghana,940,-8.9,0.0,0.0,0.85,2.4,0,24.0,
2018-01-01,Jalal-Abad_City,Kogart,Ferghana,760,-1.5,0.0,0.0,0.85,2.1,0,22.0,
2018-01-01,Batken_Area,Syr Darya,Ferghana,1050,-10.2,0.0,0.0,0.85,2.6,0,20.0,
2018-01-01,Arslanbob_Valley,Arslanbob,Ferghana,1600,-13.0,0.0,0.0,0.85,1.7,0,18.0,
2018-01-01,Song-Kul_Lake,Son-Kul,Naryn,3016,-23.2,0.0,0.0,0.81,1.2,0,16.0,
2018-01-01,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-10.6,0.0,0.0,0.74,1.4,0,14.0,
2018-01-02,Bishkek_City,Ala-Archa,Chu,800,-15.3,0.0,0.0,0.44,2.5,0,12.0,
2018-01-02,Tokmok_Area,Chu,Chu,820,-12.9,0.0,0.0,0.44,2.8,0,10.0,
2018-01-02,Kemin_District,Chon-Kemin,Chu,1300,-17.9,0.0,0.0,0.44,1.8,0,8.0,
2018-01-02,Sokuluk_Valley,Sokuluk,Chu,1100,-9.5,0.0,0.0,0.44,1.7,0,6.0,
2018-01-02,Karakol_City,Karakol,Issyk-Kul,1750,-16.5,0.0,0.0,0.4,1.9,0,4.0,
2018-01-02,Balykchy_Town,Chu,Issyk-Kul,1600,-14.1,0.0,0.0,0.4,2.0,0,2.0,
2018-01-02,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-17.0,0.0,0.0,0.4,1.6,0,0.0,
2018-01-02,Toktogul_Dam,Naryn,Naryn,870,-10.6,0.0,0.0,0.78,4.5,0,0.0,
2018-01-02,Naryn_City,Naryn,Naryn,2050,-14.2,0.0,0.0,0.78,3.2,0,0.0,17.333333333333336
2018-01-02,Kazarman_Area,Naryn,Naryn,1300,-9.9,0.0,0.0,0.78,2.8,0,0.0,17.333333333333336
2018-01-02,Talas_City,Talas,Talas,1280,-8.5,0.0,0.0,0.82,2.3,0,0.0,21.578947368421055
2018-01-02,Kirov_Dam,Talas,Talas,1090,-9.7,0.0,0.0,0.82,3.8,0,0.0,
2018-01-02,Osh_City,Ak-Buura,Ferghana,940,-5.4,0.0,0.0,1.01,2.4,0,0.0,
2018-01-02,Jalal-Abad_City,Kogart,Ferghana,760,-2.6,0.0,0.0,1.01,2.1,0,0.0,
2018-01-02,Batken_Area,Syr Darya,Ferghana,1050,-8.8,0.0,0.0,1.01,2.6,0,0.0,
2018-01-02,Arslanbob_Valley,Arslanbob,Ferghana,1600,-5.5,0.0,0.0,1.01,1.7,0,0.0,
2018-01-02,Song-Kul_Lake,Son-Kul,Naryn,3016,-20.9,0.0,0.0,0.78,1.2,0,0.0,
2018-01-02,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-14.1,0.0,0.0,0.74,1.4,0,0.0,
2018-01-03,Bishkek_City,Ala-Archa,Chu,800,-14.8,0.0,0.0,0.24,2.5,0,0.0,
2018-01-03,Tokmok_Area,Chu,Chu,820,-13.3,0.0,0.0,0.24,2.8,0,0.0,
2018-01-03,Kemin_District,Chon-Kemin,Chu,1300,-19.4,0.0,0.0,0.24,1.8,0,0.0,
2018-01-03,Sokuluk_Valley,Sokuluk,Chu,1100,-19.6,0.0,0.0,0.24,1.7,0,0.0,
2018-01-03,Karakol_City,Karakol,Issyk-Kul,1750,-12.7,0.0,0.0,0.82,1.9,0,0.0,
2018-01-03,Balykchy_Town,Chu,Issyk-Kul,1600,-12.8,0.0,0.0,0.82,2.0,0,0.0,
2018-01-03,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-12.6,0.0,0.0,0.82,1.6,0,0.0,
2018-01-03,Toktogul_Dam,Naryn,Naryn,870,-6.9,0.0,0.0,0.74,4.5,0,0.0,
2018-01-03,Naryn_City,Naryn,Naryn,2050,-16.7,0.0,0.0,0.74,3.2,0,0.0,16.444444444444446
2018-01-03,Kazarman_Area,Naryn,Naryn,1300,-11.7,0.0,0.0,0.74,2.8,0,0.0,16.444444444444446
2018-01-03,Talas_City,Talas,Talas,1280,-11.8,0.0,0.0,0.68,2.3,0,0.0,17.894736842105267
